file_name	vulnerability	severity	CWE/CVE/NEW	code_snippet
youtube.com.js	Hardcoded API Key in Service Worker	High	CWE-538	self.document = self; self.window = self; var ytcfg = { d: function () { return window.yt && yt.config_ || ytcfg.data_ || (ytcfg.data_ = {}); }, get: function (k, o) { return k in ytcfg.d() ? ytcfg.d()[k] : o; }, set: function () { var a = arguments; if (a.length > 1) ytcfg.d()[a[0]] = a[1];else { var k; for (k in a[0]) ytcfg.d()[k] = a[0][k]; } } }; ytcfg.set({ \'INNERTUBE_API_KEY\': \'AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8\', ... });
youtube.com.js	Non-Standard Service Worker Environment Assumptions	Medium	New	self.document = self; self.window = self;
gandi.net.js	Open Redirect Vulnerability	High	CWE-601	return redirect(decodedURL);
tiktok.com.js	External Script Import from Untrusted CDN	High	New	importScripts('https://lf16-tiktok-common.tiktokcdn-us.com/obj/tiktok-web-common-tx/pns/runtime-worker/2.0.0.2/pns-runtime-sw.js');
xiaomi.com.js	Insecure Caching of Responses	High	CWE-471	const cacheWillUpdate: async ({ response: e }) => 200 === e.status || 0 === e.status ? e : null
twitch.tv.js	URL Redirection (Open Redirect)	Medium	CWE-601	return t.key ? s(\''.concat(a.BrowserGame, '/').concat(t.key)).href : s(a.BrowserGame).href;
twitch.tv.js	URL Redirection (Open Redirect)	Medium	CWE-601	var e = new URL(i.redirectUrl), r = 0, o = t, n.label = 2;
ampproject.org.js	Improper Error Handling for Missing 'q' Parameter Leading to DoS	Medium	CWE-754	const searchQuery = decodeURIComponent(url.search.match(/q=([^&]+)/)[1]);
ampproject.org.js	Incorrect Cache Deletion Leading to Data Inconsistency	Medium	New	cache.delete(request, { ignoreSearch: true });
crashlytics.com.js	Deserialization of Untrusted Data	High	CWE-502	var d; try { d = Ma(c); } catch (h) { return; } var e = O(d, 1);
crashlytics.com.js	Insecure Direct Object Reference	Medium	CWE-590	d.postMessage(b);
crashlytics.com.js	Improper Input Validation	Medium	CWE-20	var b = new Va(a.g, b).fetch();
crashlytics.com.js	Improper Error Handling	Low	CWE-754	da(a);
quora.com.js	Unrestricted Import of Code from Untrusted Sources	Medium	CWE-434	self.importScripts('https://qsbr.cf2.quoracdn.net/-4-service_worker.js.out-34-3636fddc6fb8525d.webpack');
