number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
1	youtube.com.js	Hardcoded API Key in Service Worker	High	false	N/A	N/A	```self.document = self; self.window = self; var ytcfg = { d: function () { return window.yt && yt.config_ || ytcfg.data_ || (ytcfg.data_ = {}); }, get: function (k, o) { return k in ytcfg.d() ? ytcfg.d()[k] : o; }, set: function () { var a = arguments; if (a.length > 1) ytcfg.d()[a[0]] = a[1];else { var k; for (k in a[0]) ytcfg.d()[k] = a[0][k]; } } }; ytc	N/A	{The hardcoded API key is a static configuration value embedded in the script, not a result of misuse of a sensitive function. It is a direct exposure of credentials, but no dynamic or unsafe function call is involved.}	N/A
2	gandi.net.js	Open Redirect Vulnerability	High	true	CWE-601	10	N/A	standard	{The `redirect` function is called with `decodedURL`, which is derived from `url.href` that is constructed based on user-controlled input from the URL. Since `url.href` is modified by `applyUserParams` using values retrieved from IndexedDB (which may be influenced by user input) and then passed to `redirect`, an attacker can manipulate the URL parameters to redirect users to arbitrary domains. The `redirect` function constructs a Response with a Location header set to the provided URL, enabling open redirect attacks.}	```return redirect(decodedURL);```
3	tiktok.com.js	External Script Import from Untrusted CDN	High	true	CWE-78	9	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used to import a script from a CDN (https://lf16-tiktok-common.tiktokcdn-us.com), which is not under the direct control of the application. Although the URL is hardcoded, the source is an external CDN, and if the CDN is compromised or misconfigured, it could serve malicious code. This constitutes a sensitive function misuse because importScripts() executes code from an external source without any sanitization or integrity checks, potentially leading to remote code execution.}	```importScripts('https://lf16-tiktok-common.tiktokcdn-us.com/obj/tiktok-web-common-tx/pns/runtime-worker/2.0.0.2/pns-runtime-sw.js');```
4	ampproject.org.js	Improper Error Handling for Missing 'q' Parameter Leading to DoS	Medium	false	N/A	0	N/A	N/A	{The vulnerability arises from improper handling of the case when the 'q' parameter is missing in the URL search string. The code assumes the parameter is present and attempts to access index [1] of the match result, which will be undefined, leading to a runtime error. This is not due to misuse of a sensitive function, but rather a logic flaw in error handling.}	```const searchQuery = decodeURIComponent(url.search.match(/q=([^&]+)/)[1]);```
5	ampproject.org.js	Incorrect Cache Deletion Leading to Data Inconsistency	Medium	false	N/A	0	N/A	N/A	{The vulnerability stems from using cache.delete() with the ignoreSearch option, which may unintentionally delete cache entries that differ only in query parameters. This is a misconfiguration or misuse of cache semantics, not a sensitive function misuse. The function itself is not inherently dangerous when used correctly, and the issue is more about incorrect logic than security-sensitive function abuse.}	```cache.delete(request, { ignoreSearch: true });```
6	quora.com.js	Unrestricted Import of Code from Untrusted Sources	Medium	true	CWE-434	9	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used to import a script from a remote URL ('https://qsbr.cf2.quoracdn.net/-4-service_worker.js.out-34-3636fddc6fb8525d.webpack'), which is not dynamically constructed from untrusted input but is hardcoded. However, since the domain 'qsbr.cf2.quoracdn.net' is not under the control of the application and could potentially be compromised or misconfigured, this constitutes a medium-risk vulnerability. The script being imported is not sanitized or verified, and if the remote server is compromised, it could serve malicious code, leading to code injection and potential compromise of the service worker's functionality.}	"```self.importScripts(""https://qsbr.cf2.quoracdn.net/-4-service_worker.js.out-34-3636fddc6fb8525d.webpack"");```"
7	youtube.com.js	Hardcoded API Key in Service Worker	High	false	N/A	N/A	N/A	N/A	{The hardcoded API key is a static configuration value embedded in the script, not a result of misuse of a sensitive function. It is a direct exposure of credentials, but no dynamic or unsafe function call is involved.}	```self.document = self; self.window = self; var ytcfg = { d: function () { return window.yt && yt.config_ || ytcfg.data_ || (ytcfg.data_ = {}); }, get: function (k, o) { return k in ytcfg.d() ? ytcfg.d()[k] : o; }, set: function () { var a = arguments; if (a.length > 1) ytcfg.d()[a[0]] = a[1];else { var k; for (k in a[0]) ytcfg.d()[k] = a[0][k]; } } }; ytcfg.set({ 'INNERTUBE_API_KEY': 'AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8', ... });```
8	youtube.com.js	Non-Standard Service Worker Environment Assumptions	Medium	false	N/A	N/A	N/A	N/A	{The assignment of `self.document = self; self.window = self;` is a non-standard practice to simulate a browser environment in a service worker, but it does not involve misuse of a sensitive function. It is a structural assumption, not a function misuse.}	```self.document = self; self.window = self;```
9	gandi.net.js	Open Redirect Vulnerability	High	true	CWE-601	10	N/A	standard	{The `redirect` function is called with `decodedURL`, which is derived from `url.href` that is constructed from user-controlled input via `searchParams` and `localePref` from IndexedDB. Since `url.href` is built dynamically based on user-provided parameters and stored preferences, an attacker can manipulate these to craft a malicious URL, leading to an open redirect. The `redirect` function, being a custom wrapper around `Response`, sends a 302 redirect to the constructed URL, enabling redirection to arbitrary domains.}	```return redirect(decodedURL);```
10	tiktok.com.js	External Script Import from Untrusted CDN	High	true	CWE-78	9	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used to import a script from a CDN (https://lf16-tiktok-common.tiktokcdn-us.com), which is not under the direct control of the application. While the URL is hardcoded, the domain is external and potentially untrusted, making it a high-risk vector for supply chain attacks if the CDN is compromised or if the script is tampered with. This constitutes a sensitive function misuse because the script is loaded from an external source without verification, allowing an attacker to inject malicious code into the service worker.}	```importScripts('https://lf16-tiktok-common.tiktokcdn-us.com/obj/tiktok-web-common-tx/pns/runtime-worker/2.0.0.2/pns-runtime-sw.js');```
11	xiaomi.com.js	Insecure Caching of Responses	High	false	N/A	0	N/A	N/A	{The vulnerability arises from the `cacheWillUpdate` function returning responses with status 200 or 0, which may allow caching of responses that should not be cached (e.g., non-200 responses that are not errors). However, this is not due to misuse of a sensitive JavaScript function like `importScripts()` or `eval()`, but rather a logic flaw in the caching policy. The function itself is not inherently dangerous; it's the policy that is flawed.}	```const cacheWillUpdate: async ({ response: e }) => 200 === e.status || 0 === e.status ? e : null```
12	twitch.tv.js	URL Redirection (Open Redirect	Medium	true	CWE-601	N/A	new URL	standard	{The function `new URL(i.redirectUrl)` constructs a URL from user-controlled input `i.redirectUrl`, which is derived from push notification data. Since this input is not validated or sanitized, an attacker can craft a malicious redirect URL, leading to an open redirect vulnerability. The URL is then used to navigate or focus a client window, potentially redirecting users to phishing or malicious sites.}	```return t.key ? s(''.concat(a.BrowserGame, '/').concat(t.key)).href : s(a.BrowserGame).href;```
