file_name,cwe,line
felixlobrecht.de.js,CWE-943,76
0264noticias.com.ar.js,CWE-798,31
88db.com.hk.js,CWE-798,1
abhayapuricollege.in.js,CWE-798,13
accetedu.in.js,CWE-798,13
africa.restaurant.js,CWE-798,11
ahlmasrnews.com.js,CWE-798,1
airindiaexpress.com.js,CWE-798,2
aissee.co.in.js,CWE-798,13
aiuweb.org.js,CWE-798,13
albumaty.com.js,CWE-798,13
alem.com.tr.js,CWE-798,13
alemfm.com.js,CWE-798,13
aleqaria.com.eg.js,CWE-798,1
alkhabarkw.com.js,CWE-798,13
allgovtnaukri.in.js,CWE-798,13
alljobsforyou.com.js,CWE-798,13
alsaudialyaum.com.js,CWE-798,5
amaro.com.js,CWE-798,2
anbariloche.com.ar.js,CWE-798,3
andrealmenara.com.br.js,CWE-798,5
aoccalculator.in.js,CWE-798,9
apfdigital.com.ar.js,CWE-798,31
apkresult.io.js,CWE-798,13
arcarrierpoint.com.js,CWE-798,13
arzif.com.js,CWE-798,7
autonews7.com.js,CWE-798,13
azores.gov.pt.js,CWE-798,9
babyforest.in.js,CWE-798,2
babyplanet.pk.js,CWE-798,1
bajajhousingfinance.in.js,CWE-798,2
bazodo.com.js,CWE-798,9
bdjobscareers.com.js,CWE-798,13
beginningboutique.com.js,CWE-798,1
bella.tw.js,CWE-798,21
benufarma.it.js,CWE-798,1
bihamk.ba.js,CWE-798,5
biharboard.co.js,CWE-798,13
bihareduhub.in.js,CWE-798,13
blockstar.social.js,CWE-798,5
bluewin.org.js,CWE-798,16
bmct.co.in.js,CWE-798,13
bnmuresult.com.js,CWE-798,13
bookslive.co.za.js,CWE-798,2
bsestudy.in.js,CWE-798,4
calciomercato.com.js,CWE-798,14
camsgenie.com.js,CWE-798,1
cdc.org.in.js,CWE-798,13
cezma.com.js,CWE-798,4
cezma.com.js,CWE-798,17
cgaindia.org.js,CWE-798,13
championbet.ug.js,CWE-798,5
champstreet.com.js,CWE-798,9
cinemabartar.ir.js,CWE-798,1
clipsbai.net.js,CWE-798,13
cmcwtrl.in.js,CWE-798,13
cne.news.js,CWE-798,46
cokebuddy.in.js,CWE-798,785
continental.com.ar.js,CWE-798,1
counterview.org.js,CWE-798,13
cricketyukti.in.js,CWE-798,13
crwc.in.js,CWE-798,13
cs2t.run.js,CWE-798,6
csclocator.com.js,CWE-798,13
cuetsamarth.co.in.js,CWE-798,13
cusrinagar.edu.in.js,CWE-798,6
dailynews24.in.js,CWE-798,13
danialnews.com.js,CWE-798,6
darmarsklep.pl.js,CWE-798,6
daryo.uz.js,CWE-798,14
dbtyojana.com.js,CWE-798,13
dealsdirect.com.au.js,CWE-798,28
dealsdirect.com.au.js,CWE-798,37
deledbihar.in.js,CWE-798,13
dfoneople.com.js,CWE-798,8
dharwadsciencecentre.org.js,CWE-798,13
diariodevalladolid.es.js,CWE-798,35
diarioeldia.cl.js,CWE-798,3
dlsofficial.com.js,CWE-798,13
dodystories.info.js,CWE-798,16
donanimhaber.com.js,CWE-798,11
donnons.org.js,CWE-798,62
doscast.co.il.js,CWE-798,6
dotalkhalij.com.js,CWE-798,13
drikpanchang.com.js,CWE-798,1
easthamptonchamber.com.js,CWE-798,13
educationgalaxy.in.js,CWE-798,13
elcordillerano.com.ar.js,CWE-798,3
elheraldo.hn.js,CWE-798,1
ematicsolutions.com.js,CWE-798,12
emedevents.com.js,CWE-798,13
englishcentral.com.js,CWE-798,6
enjoei.com.br.js,CWE-798,2
environmentportal.in.js,CWE-798,13
epharmacy.com.np.js,CWE-798,5
estrategiaynegocios.net.js,CWE-798,1
etakenya.go.ke.js,CWE-798,9
euro24.news.js,CWE-798,20
exchmarket.net.js,CWE-798,4
