file_name,cwe,line
innpoland.pl.js,CWE-798,2
mamadu.pl.js,CWE-798,2
spatial.io.js,CWE-798,2
swag.live.js,CWE-798,1
abhayapuricollege.in.js,CWE-798,13
airindiaexpress.com.js,CWE-798,2
aiuweb.org.js,CWE-798,13
alem.com.tr.js,CWE-798,13
aleqaria.com.eg.js,CWE-798,1
alsaudialyaum.com.js,CWE-798,5
amaro.com.js,CWE-798,2
andrealmenara.com.br.js,CWE-798,5
apkresult.io.js,CWE-798,13
babyplanet.pk.js,CWE-798,1
bazodo.com.js,CWE-798,9
bella.tw.js,CWE-798,21
biharboard.co.js,CWE-798,13
bmct.co.in.js,CWE-798,13
bookslive.co.za.js,CWE-798,2
brecorder.com.js,CWE-798,1
bsestudy.in.js,CWE-798,4
calciomercato.com.js,CWE-798,14
camsgenie.com.js,CWE-798,1
cezma.com.js,CWE-798,17
championbet.ug.js,CWE-798,5
champstreet.com.js,CWE-798,9
cinemabartar.ir.js,CWE-798,1
clipsbai.net.js,CWE-798,13
cne.news.js,CWE-798,46
counterview.org.js,CWE-798,13
crwc.in.js,CWE-798,13
dailynews24.in.js,CWE-798,13
dawnnews.tv.js,CWE-798,1
dealsdirect.com.au.js,CWE-798,28
dealsdirect.com.au.js,CWE-798,37
doscast.co.il.js,CWE-798,6
easthamptonchamber.com.js,CWE-798,13
educationgalaxy.in.js,CWE-798,13
elheraldo.hn.js,CWE-798,1
etakenya.go.ke.js,CWE-798,9
euro24.news.js,CWE-798,13
euro24.news.js,CWE-798,20
exchmarket.net.js,CWE-798,4
extramarks.com.js,CWE-798,2
femmesetvilles.org.js,CWE-798,13
fetisch.de.js,CWE-798,11
fetish.com.js,CWE-798,11
fiksuruoka.fi.js,CWE-798,1381
filmy4wap.gen.in.js,CWE-798,13
flattr.com.js,CWE-798,1716
foodello.be.js,CWE-798,1381
freeyojanaalert.com.js,CWE-798,13
gemioli.com.js,CWE-798,1
gfmsportal.com.js,CWE-798,13
gkgsinhindi.co.in.js,CWE-798,13
gnkc.in.js,CWE-798,13
happiness.com.js,CWE-798,11
hchsc.com.js,CWE-798,13
