file_name,cwe,line
mmo-dev.info.js,CWE-20,37
meerangwan.com.js,CWE-20,1930
gerki.pw.js,CWE-20,6
geralforum.com.js,CWE-20,37
gentstudent.app.js,CWE-20,93
genealogy-specialists.com.js,CWE-20,37
gd.no.js,CWE-20,2745
gd.no.js,CWE-20,485
gccsatx.com.js,CWE-20,98
gatorchatter.com.js,CWE-20,37
garpix.com.js,CWE-20,49
garbageday.email.js,CWE-20,113
garagejournal.com.js,CWE-20,37
gameparadise.org.js,CWE-20,37
gameknot.com.js,CWE-20,57
gamedevelopers.pl.js,CWE-20,37
gamecatering.de.js,CWE-20,413
gaidepxx.net.js,CWE-20,31
gabilos.com.js,CWE-20,29
futureproducers.com.js,CWE-20,37
fusker.xxx.js,CWE-20,1261
furry34.com.js,CWE-20,1258
funthonglotto.co.js,CWE-20,1930
funid.com.js,CWE-20,1766
fuerteweb.info.js,CWE-20,413
fuckcombustion.com.js,CWE-20,37
fssquad.com.js,CWE-20,37
fsdeveloper.com.js,CWE-20,37
friscowebsites.com.js,CWE-20,413
frenchfunerals.com.js,CWE-20,413
fremover.no.js,CWE-20,2745
fremover.no.js,CWE-20,485
freeyojanaalert.com.js,CWE-20,99
freevpn.us.js,CWE-20,11
freelancefolder.com.js,CWE-20,37
frboard.cc.js,CWE-20,37
framatube.org.js,CWE-20,1258
foxypool.io.js,CWE-20,1258
forzainterforums.com.js,CWE-20,37
forumsemprot.fun.js,CWE-20,37
forumneyine.co.js,CWE-20,37
forumketoan.com.js,CWE-20,37
forumigo.online.js,CWE-20,37
forumgocrot.com.js,CWE-20,37
forumexcel.it.js,CWE-20,37
forumdewasa.sbs.js,CWE-20,37
forumchaves.com.br.js,CWE-20,10
forum4play.fun.js,CWE-20,37
forum4farming.com.js,CWE-20,37
forum-al.com.js,CWE-20,37
forotrolls.com.js,CWE-20,37
forosperu.club.js,CWE-20,12
foroporno.com.js,CWE-20,37
foropl.com.js,CWE-20,37
forogore.net.js,CWE-20,37
forodecostarica.com.js,CWE-20,37
forobeta.com.js,CWE-20,37
format.at.js,CWE-20,7
foreverliving.com.js,CWE-20,2057
forcbodiesonly.com.js,CWE-20,37
forbbodiesonly.com.js,CWE-20,37
forabodiesonly.com.js,CWE-20,37
footmundo.com.js,CWE-20,177
foodello.be.js,CWE-20,1
fondazionesantanna.it.js,CWE-20,99
fmttmboro.com.js,CWE-20,37
fmgente.com.uy.js,CWE-20,12
flughafen-zuerich.ch.js,CWE-20,42
floydmortuary.com.js,CWE-20,413
flowgrow.de.js,CWE-20,37
florabama.com.js,CWE-20,413
flopsy.ir.js,CWE-20,90
flirt-style.ru.js,CWE-20,37
flippermarkt.de.js,CWE-20,37
flightsearch.app.js,CWE-20,1855
flannerbuchanan.com.js,CWE-20,413
flaashmessage.com.js,CWE-20,120
fivemturk.com.js,CWE-20,6
fishforums.net.js,CWE-20,37
firesofheaven.org.js,CWE-20,37
finforums.ru.js,CWE-20,37
findmall.com.js,CWE-20,37
findcams.live.js,CWE-20,7
finalank.net.js,CWE-20,107
filmyworld.icu.js,CWE-20,99
filmy4wap.gen.in.js,CWE-20,99
filmtools.com.js,CWE-20,13
filmozavr.com.js,CWE-20,83
fiksuruoka.fi.js,CWE-20,1
fikriyat.com.js,CWE-20,28
fiatforum.com.js,CWE-20,37
feuerwehrstore.de.js,CWE-20,109
femmesetvilles.org.js,CWE-20,99
federicovalli.it.js,CWE-20,673
fbmproperty.com.js,CWE-20,413
fav10.net.js,CWE-20,37
faunaexotica.net.js,CWE-20,37
faunaclassifieds.com.js,CWE-20,37
fanverse.org.js,CWE-20,37
fantrax.com.js,CWE-20,1327
fantaculo.it.js,CWE-20,1258
fansly.com.js,CWE-20,1258
fans.ly.js,CWE-20,1258
fanniemaysucks.com.js,CWE-20,1258
fanniemays.com.js,CWE-20,1258
fanniemayconfections.com.js,CWE-20,1258
fanniemaecandy.com.js,CWE-20,1258
fanniefarmercandies.com.js,CWE-20,1258
fanaposten.no.js,CWE-20,2745
fanaposten.no.js,CWE-20,485
famiboards.com.js,CWE-20,6
falesempremais.com.br.js,CWE-20,413
fahrenheittocelsius.org.js,CWE-20,673
facture.cr.js,CWE-20,88
facilitygrid.net.js,CWE-20,1989
fachwerk.de.js,CWE-20,37
f1000.com.js,CWE-20,29
f-iraq.com.js,CWE-20,37
f-b.no.js,CWE-20,2745
f-b.no.js,CWE-20,485
exvagos.org.js,CWE-20,37
extrapointsmb.com.js,CWE-20,113
experify.io.js,CWE-20,1261
expeditionforum.com.js,CWE-20,37
exforum.live.js,CWE-20,37
exclusivasex.com.br.js,CWE-20,1957
excelmale.com.js,CWE-20,37
excel-downloads.com.js,CWE-20,37
evrotip.mk.js,CWE-20,1891
euroccor.com.js,CWE-20,413
eurocash.pl.js,CWE-20,2057
eub.no.js,CWE-20,2745
eub.no.js,CWE-20,485
etdonline.net.js,CWE-20,1246
espnfc.com.js,CWE-20,3
espnfc.co.uk.js,CWE-20,3
espndeportes.com.js,CWE-20,3
espn.nl.js,CWE-20,3
espn.com.uy.js,CWE-20,3
espn.com.pe.js,CWE-20,3
espn.com.pa.js,CWE-20,3
espn.com.do.js,CWE-20,3
espn.com.br.js,CWE-20,3
espn.com.ar.js,CWE-20,3
espn.co.uk.js,CWE-20,3
espn.co.cr.js,CWE-20,3
esoterikforum.at.js,CWE-20,37
esewa.com.np.js,CWE-20,10
escooter-treff.de.js,CWE-20,37
esb.co.id.js,CWE-20,1261
esaschicas.com.js,CWE-20,37
es.pn.js,CWE-20,3
erotikforum.at.js,CWE-20,37
erogen.club.js,CWE-20,37
ernobbs.net.js,CWE-20,37
erafrance.com.js,CWE-20,1261
eog.com.js,CWE-20,37
environmentportal.in.js,CWE-20,99
ennissteel.com.js,CWE-20,413
audipt.com.js,CWE-20,37
engelliler.biz.js,CWE-20,37
enflow.nl.js,CWE-20,8
enerzine.com.js,CWE-20,673
emutalk.net.js,CWE-20,37
emulation64.com.js,CWE-20,37
emiraforum.com.js,CWE-20,37
